gvkey,datadate,IBES_covered
001004,1986-05-31,TRUE
001004,1987-05-31,TRUE
001004,1988-05-31,TRUE
001004,1989-05-31,TRUE
001004,1990-05-31,TRUE
001004,1991-05-31,TRUE
001004,1992-05-31,TRUE
001004,1993-05-31,TRUE
001004,1994-05-31,TRUE
001004,1995-05-31,TRUE
001004,1996-05-31,TRUE
001004,1997-05-31,TRUE
001004,1998-05-31,TRUE
001004,1999-05-31,TRUE
001004,2000-05-31,TRUE
001004,2001-05-31,TRUE
001004,2002-05-31,TRUE
001004,2003-05-31,TRUE
001004,2004-05-31,TRUE
001004,2005-05-31,TRUE
001004,2006-05-31,TRUE
001004,2007-05-31,TRUE
001004,2008-05-31,TRUE
001004,2009-05-31,TRUE
001004,2010-05-31,TRUE
001004,2011-05-31,TRUE
001004,2012-05-31,TRUE
001004,2013-05-31,TRUE
001004,2014-05-31,TRUE
001004,2015-05-31,TRUE
001004,2016-05-31,TRUE
001004,2017-05-31,TRUE
001004,2018-05-31,TRUE
001004,2019-05-31,TRUE
001004,2020-05-31,TRUE
001009,1990-10-31,TRUE
001009,1991-10-31,TRUE
001009,1992-10-31,TRUE
001009,1993-10-31,TRUE
001013,2006-10-31,TRUE
001013,2007-10-31,TRUE
001017,1986-02-28,TRUE
001017,1987-02-28,TRUE
001017,1988-02-29,TRUE
001017,1989-02-28,TRUE
001021,1985-06-30,TRUE
001021,1987-06-30,TRUE
001034,1996-12-31,TRUE
001034,1997-12-31,TRUE
001034,1998-12-31,TRUE
001034,1999-12-31,TRUE
001034,2000-12-31,TRUE
001034,2001-12-31,TRUE
001034,2002-12-31,TRUE
001034,2003-12-31,TRUE
001034,2004-12-31,TRUE
001034,2005-12-31,TRUE
001034,2006-12-31,TRUE
001038,1986-03-31,TRUE
001038,1987-03-31,TRUE
001038,1988-03-31,TRUE
001038,1989-03-31,TRUE
001038,1990-03-31,TRUE
001038,1991-03-31,TRUE
001038,1992-03-31,TRUE
001038,1994-03-31,TRUE
001038,1995-03-31,TRUE
001038,1996-03-31,TRUE
001038,1997-03-31,TRUE
001038,1998-03-31,TRUE
001038,1999-03-31,TRUE
001038,2000-03-31,TRUE
001038,2002-03-31,TRUE
001038,2003-03-31,TRUE
001043,1987-07-31,TRUE
001043,1988-07-31,TRUE
001043,1989-07-31,TRUE
001043,1990-07-31,TRUE
001043,1991-07-31,TRUE
001045,2014-12-31,TRUE
001045,2015-12-31,TRUE
001045,2016-12-31,TRUE
001045,2017-12-31,TRUE
001045,2018-12-31,TRUE
001045,2019-12-31,TRUE
001050,2005-12-31,TRUE
